#IoC C2 Host Botnet: avalanchebotnet-ranbyus
#By: Equipe CSIRT-ITS
#Equipe CSIRT: Francisco Badaró, Cleidson Vaz, Gilmar Franco, Alex Brito
#Tipo: IPv4
#Formato: IP;ASN [ex: xxx.xxx.xxx.xxx;ASxxxxxx]
#OBS: IoC IPv4;ASN de host´s e seus sistemas autônomos, controladores (Atividade C2) da botnet #betabot
# --------------------------------------------------
# Versão: 21/09/2021 , 10:59hs, By Gilmar Franco
# --------------------------------------------------
77.111.247.169;AS205016
162.247.74.216;AS4224
54.36.148.195;AS16276
207.46.13.124;AS8075
40.77.167.90;AS8075
185.220.102.242;AS60729
87.118.116.103;AS31103
115.182.70.152;AS4808
185.107.70.202;AS43350
23.129.64.132;AS396507
195.206.105.217;AS9009
94.230.208.147;AS29691
