#IoC C2 Host Botnet: avalanchebotnet-ranbyus
#By: Equipe CSIRT-ITS
#Equipe CSIRT: Francisco Badaró, Cleidson Vaz, Gilmar Franco, Alex Brito
#Tipo: IPv4
#Formato: IP;ASN [ex: xxx.xxx.xxx.xxx;ASxxxxxx]
#OBS: IoC IPv4;ASN de host´s e seus sistemas autônomos, controladores (Atividade C2) da botnet #betabot
# --------------------------------------------------
# Versão: 12/11/2021 , 17:42hs, By Gilmar Franco
# --------------------------------------------------
77.111.247.169;AS205016
162.247.74.216;AS4224
54.36.148.195;AS16276
207.46.13.124;AS8075
40.77.167.90;AS8075
185.220.102.242;AS60729
87.118.116.103;AS31103
115.182.70.152;AS4808
185.107.70.202;AS43350
23.129.64.132;AS396507
195.206.105.217;AS9009
94.230.208.147;AS29691
173.252.87.15;AS32934
31.13.115.8;AS32934
66.220.149.2;AS32934
66.220.149.33;AS32934
31.13.115.16;AS32934
69.171.251.11;AS32934
69.171.251.2;AS32934
157.55.39.159;AS8075
157.55.39.117;AS8075
173.252.127.3;AS32934
173.252.127.9;AS32934
69.171.251.13;AS32934
31.13.115.10;AS32934
66.220.149.20;AS32934
31.13.115.15;AS32934
66.220.149.42;AS32934
31.13.127.37;AS32934
31.13.127.8;AS32934
51.222.253.15;AS16276
31.13.115.2;AS32934
157.55.39.161;AS8075
207.102.138.19;AS852
173.252.87.5;AS32934
31.13.127.24;AS32934
69.171.251.117;AS32934
31.13.127.19;AS32934
54.36.148.159;AS16276
185.31.175.231;AS60404
40.77.167.13;AS8075
207.46.13.98;AS8075
173.252.95.13;AS32934
185.220.102.241;AS60729
185.56.80.65;AS43350
23.129.64.142;AS396507
