#IoC C2 Host Botnet: betabot
#By: Equipe CSIRT-ITS
#Equipe CSIRT: Francisco Badaró, Cleidson Vaz, Gilmar Franco, Alex Brito
#Tipo: IPv4
#Formato: IP;ASN [ex: xxx.xxx.xxx.xxx;ASxxxxxx]
#OBS: IoC IPv4;ASN de host´s e seus sistemas autônomos, controladores (Atividade C2) da botnet #betabot
# --------------------------------------------------
# Versão: 03/09/2021 , 15:49hs, By Gilmar Franco
# --------------------------------------------------
173.231.189.17;AS29791
18.215.128.143;AS14618
187.44.222.250;AS28186
177.155.144.141;AS263622
41.89.165.9;AS36914
177.39.196.14;AS52774
197.221.137.202;AS36977
210.16.94.15;AS135744
170.82.126.94;AS262494
103.76.45.46;AS133866
103.131.147.32;AS138362
64.88.232.6;AS22351
103.59.178.226;AS134226
182.48.237.166;AS45769
45.249.79.10;AS18229
185.206.201.242;AS43019
202.160.147.22;AS133674
111.92.73.229;AS17465
43.227.128.93;AS136716
43.231.57.176;AS133648
103.118.78.186;AS137959
203.188.244.142;AS9832
103.75.161.117;AS135760
41.220.30.132;AS37204
203.190.14.135;AS58768
103.75.161.116;AS135760
203.189.249.29;AS58966
168.167.25.115;AS14988
31.170.161.79;AS47583
153.92.0.11;AS204915
45.226.62.5;AS266965
192.141.246.137;AS265540
159.89.180.217;AS14061
103.141.2.10;AS139300
192.141.244.106;AS265540
200.52.28.8;AS262659
27.72.116.110;AS7552
103.222.22.11;AS135527
103.3.58.2;AS135477
111.125.230.58;AS267984
103.59.179.14;AS134226
197.185.110.135;AS37105
103.22.172.114;AS45769
150.107.205.154;AS58504
45.190.168.130;AS269901
41.203.191.100;AS33567
45.190.168.130;AS269901
103.130.74.4; AS138383
201.249.202.242;AS8048
202.79.18.61;AS24481
103.89.58.156;AS136332
103.251.82.215;AS45804
103.3.58.2;AS135477
197.185.110.135;AS37105
185.255.47.23;205254
177.66.14.35;AS 262486
117.6.97.86;AS7552
177.131.16.82;AS262378
192.141.244.135;AS265540
103.218.24.57;AS63526
192.141.244.136;;AS265540
116.68.102.242;AS17465
203.171.245.3;AS23860
163.47.158.54;AS58587
