#IoC C2 Host Botnet: gumblar
#By: Equipe CSIRT-ITS
#Equipe CSIRT: Francisco Badaró, Cleidson Vaz, Gilmar Franco, Alex Brito
#Tipo: IPv4
#Formato: IP;ASN [ex: xxx.xxx.xxx.xxx;ASxxxxxx]
#OBS: IoC IPv4;ASN de host´s e seus sistemas autônomos, controladores (Atividade C2) da botnet #gumblar
# --------------------------------------------------
# Versão: 02/09/2021 , 13:50:00hs, By Gilmar Franco
# --------------------------------------------------
50.63.7.228;AS26496
213.186.33.19;AS16276
66.96.149.32;AS29873
138.121.198.90;AS264301
192.42.116.16;AS1101
167.114.159.99;AS16276
196.3.99.146;AS31960
177.21.19.56;AS53242
45.189.126.2;AS269583
177.21.30.117;AS53242
189.89.187.146;AS28186
66.249.83.97;AS15169
41.202.219.244;AS36912
40.77.167.98;AS8075
66.249.83.127;AS15169
66.249.73.48;AS15169
66.249.83.10;AS15169
66.249.83.80;AS15169
66.249.83.124;AS15169
45.5.117.162;AS265684
66.249.73.153;AS15169
40.77.167.38;AS8075
185.191.171.5;AS209366
41.202.219.71;AS36912
66.249.83.126;AS15169
150.107.205.210;AS58504
66.249.83.217;AS15169
185.191.171.45;AS209366
40.77.167.99;AS8075
196.202.217.18;AS12455
66.249.83.86;AS15169
185.191.171.21;AS209366
40.77.167.99;AS8075
40.77.167.38;AS8075
40.77.167.65;AS8075
45.5.117.162;AS265684
66.249.73.245;AS15169
35.245.188.175;AS15169
185.136.219.73;AS205081
66.249.83.99;AS15169
58.147.170.114;AS38071
154.66.160.4;AS25543
66.249.83.116;AS15169
66.249.73.44;AS15169
66.249.65.226;AS15169
66.249.83.85;AS15169
173.252.87.1;AS32934
173.252.95.14;AS32934
138.117.177.142;AS264245
213.186.33.4;AS16276
187.44.184.198;AS28186
185.191.171.14;AS209366
156.146.63.2;AS60068
162.247.74.213;AS4224
195.176.3.20;AS559
54.36.148.0;AS559
144.86.173.2;AS396982
185.216.32.130;AS9009

