#IoC C2 Host Botnet: lokibot
#By: Equipe CSIRT-ITS
#Equipe CSIRT: Francisco Badaró, Cleidson Vaz, Gilmar Franco, Alex Brito
#Tipo: IPv4
#Formato: IP;ASN [ex: xxx.xxx.xxx.xxx;ASxxxxxx]
#OBS: IoC IPv4;ASN de host´s e seus sistemas autônomos, controladores (Atividade C2) da botnet #lokibot
# --------------------------------------------------
# Versão:29/10/2021 , 10:23hs, By Gilmar Franco 
# --------------------------------------------------

192.185.146.63;46606
13.58.168.69;16509
159.69.186.9;AS24940
185.159.153.68;AS201999
159.69.83.207;AS24940
3.130.158.209;16509
66.254.114.41;AS29789
107.189.31.252;AS53667
185.191.171.25;AS209366
45.153.160.138;AS212906
157.55.39.42;AS8075
162.142.125.59;AS398324
185.191.171.24;AS209366
180.163.220.4;AS4812
34.86.35.9;AS15169
66.220.149.26;AS32934
162.142.125.59;AS398324
34.77.162.4;AS15169
74.82.47.4;AS6939
31.13.115.2;AS32934
34.77.162.22;AS15169
45.56.91.118;AS63949
94.180.26.191;AS57044
103.4.94.178;AS45773
177.66.255.182;AS52660
142.93.148.200;AS14061
142.93.152.135;AS14061
23.100.232.233;AS8075
136.144.41.117;AS211252
159.89.195.197;AS14061
204.101.161.19;AS577
23.251.102.74;AS21859
23.251.102.76;AS21859
34.77.162.1;AS15169
34.96.130.16;AS15169
45.190.46.60;AS269619
128.1.248.44;AS21859
128.14.209.164;AS21859
159.89.195.197;AS14061
184.105.247.254;AS6939
23.251.102.74;AS21859
88.9.119.217;AS3352
185.191.171.35;AS396982
