IoC C2 Host Botnet: Raccoonstealer
#By: Equipe CSIRT-ITS
#Equipe CSIRT: Francisco Badaró, Cleidson Vaz, Gilmar Franco, Alex Brito
#Tipo: IPv4
#Formato: IP;ASN [ex: xxx.xxx.xxx.xxx;ASxxxxxx]
#OBS: IoC IPv4;ASN de host´s e seus sistemas autônomos, controladores (Atividade C2) da botnet #Raccoonstealer
# --------------------------------------------------
# Versão: 08/11/2021 , 11:27hs, By Gilmar Franco
# --------------------------------------------------

94.158.245.117;AS39798
159.65.150.234;AS14061
41.204.187.5;AS36914
103.59.178.225;AS134226
101.0.57.185;AS133661
103.105.101.103;AS18229
159.65.150.234;AS14061
41.204.187.5;AS36914
103.59.178.225;AS134226
110.44.125.161;AS45650
41.73.1.76;AS37004
195.201.225.248;AS24940
95.216.186.40;AS24940
178.20.158.28;AS42331
149.154.167.99;AS62041
41.89.128.14;AS36914
41.216.201.166;AS37105
197.234.189.153;AS37315
27.147.190.194;AS23688
187.44.136.62;AS28186

